=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_gru.pth ===
[2026-03-16 23:33:40] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=13 train_loss=0.003975 val_loss=0.009922 lr=0.00050000 best_val=0.009877
[2026-03-16 23:33:58] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=14 train_loss=0.003931 val_loss=0.009724 lr=0.00050000 best_val=0.009724
[2026-03-16 23:34:16] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=15 train_loss=0.003907 val_loss=0.009639 lr=0.00050000 best_val=0.009639
[2026-03-16 23:34:33] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=16 train_loss=0.003872 val_loss=0.009752 lr=0.00050000 best_val=0.009639
[2026-03-16 23:34:50] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=17 train_loss=0.003845 val_loss=0.009911 lr=0.00050000 best_val=0.009639
[2026-03-16 23:35:06] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=18 train_loss=0.003819 val_loss=0.009618 lr=0.00050000 best_val=0.009618
[2026-03-16 23:35:22] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=19 train_loss=0.003798 val_loss=0.009568 lr=0.00050000 best_val=0.009568
[2026-03-16 23:35:39] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=20 train_loss=0.003779 val_loss=0.009575 lr=0.00050000 best_val=0.009568
[2026-03-16 23:35:55] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=21 train_loss=0.003755 val_loss=0.009544 lr=0.00050000 best_val=0.009544
[2026-03-16 23:36:10] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=22 train_loss=0.003738 val_loss=0.009495 lr=0.00050000 best_val=0.009495
[2026-03-16 23:36:27] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=23 train_loss=0.003717 val_loss=0.009583 lr=0.00050000 best_val=0.009495
[2026-03-16 23:36:44] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=24 train_loss=0.003700 val_loss=0.009700 lr=0.00050000 best_val=0.009495
[2026-03-16 23:37:01] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=25 train_loss=0.003680 val_loss=0.009522 lr=0.00050000 best_val=0.009495

=== NEW RUN | model=GRU_Imputation | file=imputation_model__gru_and_attention.pth ===
[2026-03-16 23:42:54] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=1 train_loss=0.007484 val_loss=0.010573 lr=0.00100000 best_val=0.010573
[2026-03-16 23:43:06] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=2 train_loss=0.005541 val_loss=0.011190 lr=0.00100000 best_val=0.010573
[2026-03-16 23:43:18] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=3 train_loss=0.005198 val_loss=0.011201 lr=0.00100000 best_val=0.010573
[2026-03-16 23:43:29] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=4 train_loss=0.004975 val_loss=0.011080 lr=0.00100000 best_val=0.010573
[2026-03-16 23:43:41] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=5 train_loss=0.004803 val_loss=0.010628 lr=0.00100000 best_val=0.010573
