IQR (Interquartile Range, interkvartilové rozpětí) je míra variability dat, která ukazuje, jak „rozptýlená“ jsou hodnoty kolem středu souboru.

BEZ ATTENTION
Test Loss: 0.016015
URB Lysimeter outside tension kPa -> RMSE: 0.0685, MAE: 0.0316, R^2: 0.0921
URB Lysimeter outside tension reference kPa -> RMSE: 0.0805, MAE: 0.0327, R^2: 0.1106
URB Lysimeter percolation pump mV -> RMSE: 0.1269, MAE: 0.0507, R^2: 0.3004
URB Lysimeter temperature control mV -> RMSE: 0.1220, MAE: 0.0541, R^2: 0.1151
URB Lysimeter vacuum kPa -> RMSE: 0.0702, MAE: 0.0332, R^2: 0.2191
Weather Station UMP (1) % -> RMSE: 0.1134, MAE: 0.0516, R^2: 0.0635
Weather Station UMP (1) ec mS/cm -> RMSE: 0.1448, MAE: 0.0855, R^2: 0.0942
Weather Station UMP (1) temperature degC -> RMSE: 0.1008, MAE: 0.0566, R^2: 0.0698
Weather Station air pressure hPa -> RMSE: 0.1209, MAE: 0.0575, R^2: -0.0060
Weather Station air temperature degC -> RMSE: 0.0713, MAE: 0.0436, R^2: 0.0198
Weather Station battery V -> RMSE: 0.1005, MAE: 0.0500, R^2: -0.1103
Weather Station humidity % -> RMSE: 0.0803, MAE: 0.0531, R^2: -0.3614
Weather Station precipitation mm -> RMSE: 0.0163, MAE: 0.0149, R^2: 0.0000
Weather Station radiation W/qm -> RMSE: 0.1127, MAE: 0.0528, R^2: 0.0456
Weather Station temperature (5+) degC -> RMSE: 0.0760, MAE: 0.0419, R^2: 0.0233
Weather Station wind direction deg -> RMSE: 0.1350, MAE: 0.0622, R^2: -0.0869
Weather Station wind speed m/s -> RMSE: 0.1315, MAE: 0.0567, R^2: -0.0132
[00] SSA 3 Lysimeter UMP 120cm % -> RMSE: 0.0384, MAE: 0.0186, R^2: -0.0004
[01] SSA 3 Lysimeter UMP 30cm % -> RMSE: 0.0465, MAE: 0.0362, R^2: -0.6396
[02] SSA 3 Lysimeter UMP 75cm % -> RMSE: 0.0391, MAE: 0.0185, R^2: -0.0065
[03] SSA 3 Lysimeter battery V -> RMSE: 0.0751, MAE: 0.0410, R^2: 0.0929
[04] SSA 3 Lysimeter ec 120cm mS/cm -> RMSE: 0.0711, MAE: 0.0508, R^2: -0.6650
[05] SSA 3 Lysimeter ec 30cm mS/cm -> RMSE: 0.0677, MAE: 0.0419, R^2: -0.5262
[06] SSA 3 Lysimeter ec 75cm mS/cm -> RMSE: 0.0742, MAE: 0.0471, R^2: -0.1925
[07] SSA 3 Lysimeter scale (1) kg -> RMSE: 0.0632, MAE: 0.0370, R^2: -0.3073
[08] SSA 3 Lysimeter temperature 120cm degC -> RMSE: 0.0434, MAE: 0.0321, R^2: -0.5803
[09] SSA 3 Lysimeter temperature 30cm degC -> RMSE: 0.0557, MAE: 0.0443, R^2: -1.3083
[10] SSA 3 Lysimeter temperature 75cm degC -> RMSE: 0.0444, MAE: 0.0295, R^2: -0.5595
[11] SSA 3 Lysimeter tension 120cm kPa -> RMSE: 0.0695, MAE: 0.0449, R^2: -0.3681
[12] SSA 3 Lysimeter tension 30cm kPa -> RMSE: 0.0880, MAE: 0.0637, R^2: -0.9739
[13] SSA 3 Lysimeter tension 75cm kPa -> RMSE: 0.0683, MAE: 0.0445, R^2: -0.2594
[14] SSA 3 Lysimeter vacuum 120cm kPa -> RMSE: 0.0873, MAE: 0.0597, R^2: -0.9317
[15] SSA 3 Lysimeter vacuum 30cm kPa -> RMSE: 0.0855, MAE: 0.0629, R^2: -0.7308
[16] SSA 3 Lysimeter vacuum 75cm kPa -> RMSE: 0.0831, MAE: 0.0607, R^2: -0.8514
[17] SSA 4 Schacht UMP (1) 120cm % -> RMSE: 0.0477, MAE: 0.0158, R^2: 0.2559
[18] SSA 4 Schacht UMP (1) 30cm % -> RMSE: 0.0577, MAE: 0.0305, R^2: 0.1552
[19] SSA 4 Schacht UMP (1) 75cm % -> RMSE: 0.0486, MAE: 0.0180, R^2: 0.2313
[20] SSA 4 Schacht UMP (2) 120cm % -> RMSE: 0.0460, MAE: 0.0285, R^2: 0.0501
[21] SSA 4 Schacht UMP (2) 30cm % -> RMSE: 0.0619, MAE: 0.0221, R^2: 0.2142
[22] SSA 4 Schacht UMP (2) 75cm % -> RMSE: 0.0495, MAE: 0.0288, R^2: 0.1205
[23] SSA 4 Schacht UMP (3) 120cm % -> RMSE: 0.0404, MAE: 0.0182, R^2: 0.1665
[24] SSA 4 Schacht UMP (3) 30cm % -> RMSE: 0.0584, MAE: 0.0214, R^2: 0.2613
[25] SSA 4 Schacht UMP (3) 75cm % -> RMSE: 0.0431, MAE: 0.0204, R^2: 0.1580
[26] SSA 4 Schacht battery V -> RMSE: 0.0858, MAE: 0.0469, R^2: 0.3526
[27] SSA 4 Schacht discharge (1) l -> RMSE: 0.0020, MAE: 0.0015, R^2: 0.0000
[28] SSA 4 Schacht discharge (2) l -> RMSE: 0.0019, MAE: 0.0015, R^2: 0.0000
[29] SSA 4 Schacht discharge (3) l -> RMSE: 0.0045, MAE: 0.0034, R^2: 0.0000
[30] SSA 4 Schacht ec (1) 120cm mS/cm -> RMSE: 0.0544, MAE: 0.0229, R^2: 0.3908
[31] SSA 4 Schacht ec (1) 30cm mS/cm -> RMSE: 0.0597, MAE: 0.0251, R^2: 0.3295
[32] SSA 4 Schacht ec (1) 75cm mS/cm -> RMSE: 0.0710, MAE: 0.0281, R^2: 0.4095
[33] SSA 4 Schacht ec (2) 120cm mS/cm -> RMSE: 0.0392, MAE: 0.0155, R^2: 0.5262
[34] SSA 4 Schacht ec (2) 30cm mS/cm -> RMSE: 0.0639, MAE: 0.0270, R^2: 0.4022
[35] SSA 4 Schacht ec (2) 75cm mS/cm -> RMSE: 0.0677, MAE: 0.0265, R^2: 0.4857
[36] SSA 4 Schacht ec (3) 120cm mS/cm -> RMSE: 0.0464, MAE: 0.0162, R^2: 0.2366
[37] SSA 4 Schacht ec (3) 30cm mS/cm -> RMSE: 0.0559, MAE: 0.0233, R^2: 0.2328
[38] SSA 4 Schacht ec (3) 75cm mS/cm -> RMSE: 0.0662, MAE: 0.0261, R^2: 0.4908
[39] SSA 4 Schacht temperature (1) 120cm degC -> RMSE: 0.0598, MAE: 0.0251, R^2: 0.3991
[40] SSA 4 Schacht temperature (1) 30cm degC -> RMSE: 0.0426, MAE: 0.0175, R^2: 0.2629
[41] SSA 4 Schacht temperature (1) 75cm degC -> RMSE: 0.0514, MAE: 0.0224, R^2: 0.2725
[42] SSA 4 Schacht temperature (2) 120cm degC -> RMSE: 0.0499, MAE: 0.0193, R^2: 0.2151
[43] SSA 4 Schacht temperature (2) 30cm degC -> RMSE: 0.0496, MAE: 0.0183, R^2: 0.3650
[44] SSA 4 Schacht temperature (2) 75cm degC -> RMSE: 0.0530, MAE: 0.0217, R^2: 0.2522
[45] SSA 4 Schacht temperature (3) 120cm degC -> RMSE: 0.0512, MAE: 0.0208, R^2: 0.2388
[46] SSA 4 Schacht temperature (3) 30cm degC -> RMSE: 0.0417, MAE: 0.0162, R^2: 0.2676
[47] SSA 4 Schacht temperature (3) 75cm degC -> RMSE: 0.0513, MAE: 0.0193, R^2: 0.2704
[48] SSA 4 Schacht vacuum 120cm kPa -> RMSE: 0.0385, MAE: 0.0141, R^2: -0.0638
[49] SSA 4 Schacht vacuum 140cm kPa -> RMSE: 0.0406, MAE: 0.0153, R^2: 0.1832
